"{0.0476, 0.0476, 0.0361}","{0.001740000000000638, 0.001740000000000638, 0.014280000000000384}","{127/2500, 127/2500, 47/1250}","{127/2500, 127/2500, 47/1250}"
"{0.044018922353016715, 0.04821226003700449, 0.000517916227910675}","{0.03870500000000001, 0.0005300000000002942, 0.6289049999999963}","{3933/10000, 4387/10000, 19/2500}","{76401/10000, 38923/5000, 117301/10000}"
"{0.04014333401989398, 0.04389406921760387, 0.00007808355216600861}","{0.16733500000000037, 0.10121000000000017, 1.2234200000000008}","{3603/5000, 8013/10000, 1/500}","{167587/10000, 85251/5000, 58771/2500}"
"{0.03455336710372471, 0.03882507824990104, 0.000024874484850988608}","{0.41912499999999936, 0.30434500000000037, 1.784070000000003}","{9599/10000, 2211/2000, 9/10000}","{53161/2000, 271969/10000, 173497/5000}"
"{0.02956398296139962, 0.03466739363509094, 0.000026527561114538777}","{0.7633599999999988, 0.5846950000000019, 2.329409999999988}","{11159/10000, 3381/2500, 13/10000}","{91463/2500, 377419/10000, 228071/5000}"
"{0.024852293192204614, 0.03048922635135566, 9.812739345411572*^-6}","{1.2058250000000073, 0.9646049999999994, 2.8865900000000115}","{1501/1250, 3071/2000, 3/5000}","{18853/400, 490021/10000, 283719/5000}"
"{0.020033566538802224, 0.02582682073100147, 2.5978407557354923*^-6}","{1.7667950000000001, 1.4880849999999937, 3.4461400000000153}","{11847/10000, 8027/5000, 1/5000}","{580299/10000, 608697/10000, 169817/2500}"
"{0.014720396223927637, 0.020339767312328186, 2.176227084565346*^-6}","{2.4606199999999934, 2.181989999999993, 3.992420000000012}","{2059/2000, 15109/10000, 1/5000}","{86003/1250, 364289/5000, 197131/2500}"
"{0.010003634649975243, 0.014630799000589733, 1.176470588235294*^-6}","{3.237304999999996, 3.0541150000000123, 4.554514999999979}","{8117/10000, 12747/10000, 1/10000}","{799801/10000, 855763/10000, 900923/10000}"
"{0.00497227835375679, 0.007835844531993031, 9.80392156862745*^-7}","{4.140659999999988, 4.186075000000019, 5.0930400000000215}","{573/1250, 3919/5000, 1/10000}","{227453/2500, 39359/400, 252157/2500}"
"{0., 0., 0.}","{5.175825000000017, 5.661225000000007, 5.6557850000000105}","{0, 0, 0}","{205033/2000, 224449/2000, 1121157/10000}"